"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"acessível";-1;-1;1;-1;1;1;-1;-1;-1;-1;3
"aparelho";-1;-1;1;-1;-1;1;-1;-1;-1;-1;4
"internet";-1;-1;-1;1;21;2;-1;-1;2;-3;-2
"plataforma";-1;-1;1;-1;1;-2;-2;1;1;-2;6
"on";-1;-1;2;-1;-1;-1;-1;-2;-1;3;-1
"line";-1;-1;2;-1;-1;1;-1;-2;-1;3;-1
"inúmero";-1;-1;1;1;-1;-1;-1;-1;1;2;-2
"interessante";-1;-1;1;1;-1;-1;-1;-1;-2;3;-1
"gerar";-1;-1;-1;-1;1;1;1;-1;1;1;-1
"aula";-2;-1;-2;-1;-2;-3;-2;-3;-1;22;-3
"operar";-1;-1;1;-1;-1;-1;-1;-1;1;2;-1
"repositório";-1;-1;1;-1;2;6;-1;2;-1;-3;1
"efeito";-1;-1;-1;-1;-1;-1;-1;1;4;-1;1
"imediato";-1;-1;1;-1;-1;-1;1;1;-1;1;-1
"empresa";-1;-1;2;-1;-1;-1;2;1;1;1;-1
"maneira";-1;-1;1;1;1;1;-1;1;1;-1;-1
"formação";-2;-1;-1;-2;-2;-1;-1;-2;1;2;2
"hipótese";-1;-1;2;-1;-1;2;-1;2;-1;-2;-1
"valer";-1;-1;1;-1;-1;-1;2;-1;5;-2;-1
"via";-1;-1;1;2;3;1;-1;-1;-1;-2;1
"comunitário";-1;-1;1;-1;-1;6;-1;-1;-1;-1;1
"virtual";-1;-1;-1;-1;-1;-1;-1;1;3;-1;1
"qualquer";-1;-1;1;1;1;1;-1;1;1;-2;1
"formato";-1;-1;-1;-1;1;2;-1;1;-1;1;1
"popular";-1;-1;1;-1;-1;-1;-1;-1;-1;3;-1
"assumir";-1;-1;1;-1;1;1;-1;1;-1;1;-1
"entender";-1;-1;1;2;1;-2;-2;-1;1;2;-1
"mediar";-1;-1;1;-1;-1;-1;1;6;1;-2;-1
"menos";-1;-1;1;1;2;1;1;1;-1;-1;-1
"hd";-1;-1;3;-1;1;2;6;-1;-1;-3;-1
"estudante";-1;-1;-1;1;-1;-3;-1;1;-1;2;1
"superior";-1;-1;-1;-1;1;-2;-2;-1;2;2;-1
"extremo";-1;-1;1;-1;-1;1;1;-1;-1;2;-1
"corpo";-1;-1;1;1;-1;-1;1;3;-1;-1;1
"arqueologia";-1;-1;1;8;-1;5;-1;-1;-1;-2;-1
"jogo";-2;-1;-2;-2;-2;1;1;1;-4;1;2
"me";-1;-1;1;-1;1;1;-1;1;1;-1;-1
"dizer";-1;-1;1;-1;1;-1;-1;-2;1;2;-1
"significar";-1;-1;1;-1;15;1;1;-1;-1;-2;1
"normativo";-1;-1;1;-1;-1;-1;-1;1;-1;-1;3
"autoral";-1;-1;1;-1;1;1;1;-1;-1;1;-1
"justiça";-1;-1;2;1;-1;-1;-1;1;-1;-1;1
"raciocínio";-1;-1;1;-1;-1;-1;-1;1;-1;2;-1
"jurídico";-1;-1;-1;-1;5;1;-1;-2;-1;-1;2
"lidar";-1;-1;1;1;-1;1;-1;-1;-1;2;-1
"maria";-1;-1;1;-1;-1;-1;-1;1;1;2;-1
"cujo";-1;-1;2;1;-1;1;-1;3;1;-3;1
"junto";-1;-1;1;-1;1;-1;1;-1;-1;1;1
"legal";-1;-1;1;-1;-1;1;-1;-1;-1;-1;1
"relatar";-1;-1;1;-1;-1;-1;-1;2;1;-1;-1
"3";-1;-1;1;-1;1;1;2;5;-1;-1;-1
"2007";-1;-1;1;-1;-1;-1;1;-1;-1;1;1
"2012";-1;-1;1;-1;-1;1;6;1;-1;-2;1
"of";-1;-1;1;1;-1;-1;1;5;-2;-2;1
"registrar";-1;-1;4;-1;5;-1;-1;-1;1;-1;-1
"facilitar";-1;-1;-1;-1;-1;-1;-1;-1;-2;3;1
"velocidade";-1;-1;4;8;-1;1;2;-1;1;-3;-1
"preciso";-1;-1;1;-1;-1;2;1;2;-1;-1;-1
"rápido";-1;-1;2;2;1;1;-1;1;-1;-2;2
"preservação";-1;-1;2;-1;-1;15;-2;1;-1;-1;-3
"local";-1;-1;1;-1;1;-1;1;3;-1;1;-1
"potencialidade";-1;-1;1;-1;-1;-1;3;-1;-1;1;1
"risco";-1;-1;1;-1;1;9;2;-1;-1;-3;1
"real";-1;-1;1;-1;1;2;1;-1;-1;-1;1
"evolução";-1;-1;1;-1;-1;1;-1;-1;-2;1;3
"defender";-1;-1;1;-1;-1;2;1;-1;-1;-1;1
"eficácia";-1;-1;1;-1;-1;-1;-1;-1;-1;-1;13
"frente";-1;-1;3;1;-1;-1;1;1;1;-1;-1
"propósito";-1;-1;1;-1;-1;-1;-1;-1;1;1;-1
"recente";-1;-1;1;1;1;1;1;1;1;-2;-1
"democracia";-1;-1;3;-1;-1;1;-1;-1;1;-1;1
"luz";-1;-1;1;-1;-1;-1;-1;1;1;-1;2
"estimulante";-1;-1;1;-1;-1;-1;-1;-1;-1;3;-1
"transformar";-1;-1;-1;-1;-1;1;-1;1;-1;1;1
"algo";-1;-1;1;1;-1;-1;-1;-1;-1;2;1
"lançar";-1;-1;1;-1;-1;1;-1;1;1;-1;1
"letra";-1;-1;1;-1;1;1;-1;-1;1;1;-1
"historiográfico";-1;-1;1;-1;-1;-1;-1;1;-1;1;1
"fator";-1;-1;1;1;-1;1;-1;1;-1;1;-1
"interferir";-1;-1;1;-1;1;1;-1;1;2;-2;1
"dinâmica";-1;-1;1;-1;-1;3;-1;-1;-1;1;1
"metodológico";-1;-1;-1;1;2;4;2;1;-1;-2;-2
"discursivo";-1;-1;1;-1;1;-1;-1;-1;-1;1;1
"problemático";-1;-1;1;-1;-1;-1;-1;-1;-1;3;-1
"traçar";-1;-1;1;1;1;1;4;1;1;-2;-1
"morte";-1;-1;1;-1;-1;-1;1;-1;-1;1;1
"personagem";-1;-1;1;1;-1;-1;-1;-1;-1;4;-1
"isto";-1;-1;1;1;-1;-1;-1;1;1;1;-1
"vincular";-1;-1;1;3;2;1;-1;-1;2;-2;-2
"diagnóstico";-1;-1;1;-1;-1;-1;-1;1;5;-2;1
"ponto";-1;-1;1;1;2;1;-1;-1;1;-1;-1
"partida";-1;-1;1;-1;-1;-1;-1;2;2;-1;-1
"autonomia";-1;-1;1;1;-1;1;1;-1;1;-1;1
"leitor";-1;-1;1;-1;-1;-1;1;3;1;1;-2
"publicar";-1;-1;1;1;1;-1;1;2;-1;-2;1
"2017";-1;-1;1;-1;-1;-1;14;-1;-1;-2;1
"encontro";-1;-1;1;-1;-1;1;1;2;1;-1;-1
"biblioteconomia";-1;-1;2;5;3;1;8;-1;-1;-4;-2
"edição";-1;-1;1;-1;-1;2;8;-1;2;-3;-1
"fotografia";-1;-1;1;-1;52;-1;-1;-1;-1;-2;-2
"pilar";-1;-1;1;-1;1;-1;-1;-1;-1;2;1
"web";-1;-1;1;3;8;9;-1;1;-1;-5;-2
"temático";-1;-1;1;-1;-1;2;3;1;-1;-1;-2
"biblioteca";-1;-1;1;42;1;-2;1;1;1;-4;-2
"rio";-1;-1;1;1;-1;-1;2;1;1;1;-1
"carvalho";-1;-1;5;-1;-1;-1;-1;-1;1;1;-2
"rodrigues";-1;-1;1;-1;-1;-1;-2;-1;-1;8;-3
"conceição";-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1
"apoio";-1;-1;1;-1;1;-1;3;3;-1;-1;1
"gomes";-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1
"europeana";-1;-1;1;46;4;-1;-1;-1;-1;-3;-1
"data";-1;-1;1;6;2;-1;3;-1;-1;-2;-1
"aplicado";-1;-1;1;1;1;1;1;-1;-1;-2;1
"josé";-1;-1;1;1;-1;-1;-1;-1;1;1;-1
"referente";-1;-1;1;-1;-1;1;-1;-1;1;1;-1
"the";-1;-1;1;2;-1;-1;1;9;-1;-2;1
"2016";-1;-1;1;1;1;3;1;1;-1;-2;1
"nação";-1;-1;1;-1;-1;-1;1;3;-1;-1;-1
"unesco";-1;-1;1;-1;-1;-1;-1;-1;-2;3;-1
"manutenção";-1;-1;3;-1;-1;1;1;1;-1;-1;1
"edificação";-1;-1;39;-1;-1;-1;-1;-1;-1;-1;-1
"igreja";-1;-1;42;-1;-1;-1;-1;-1;-1;-1;-1
"dano";-1;-1;23;-1;-1;1;-1;-1;-1;-1;-1
"dividir";-1;-1;1;-1;1;-1;-1;1;1;-1;1
"etapa";-1;-1;25;-1;-1;-1;1;-1;1;-3;-1
"crucial";-1;-1;1;2;-1;-1;1;-1;-1;-1;2
"entendimento";-1;-1;1;1;2;1;-1;-1;1;-2;1
"quase";-1;-1;1;-1;-1;-1;1;-1;3;-1;-1
"mão";-1;-1;1;-1;-1;-1;1;-1;1;1;-1
"livre";-1;-1;1;1;-1;3;1;1;2;-3;-1
"terceiro";-1;-1;1;-1;-1;-1;3;1;2;-1;-1
"adoção";-1;-1;1;1;-1;-1;1;-1;-1;1;3
"adotado";-1;-1;1;-1;-1;-1;-1;-1;-1;2;1
"recuperação";-1;-1;1;-1;12;-1;2;-1;2;-3;-1
"estrutural";-1;-1;1;-1;-1;1;-1;-1;2;-2;1
"manifestação";-1;-1;2;2;1;7;-1;1;-1;-3;-1
"objetivar";-1;-1;1;-1;2;1;1;-1;1;-1;1
"fase";-1;-1;1;1;1;-1;-1;-1;-1;3;-1
"2009";-1;-1;1;-1;-1;1;1;1;1;-1;1
"visualização";-1;-1;1;-1;3;-1;5;-1;3;-3;-1
"visão";-1;-1;-1;2;-1;-1;1;-1;-2;1;2
"medida";-1;-1;1;-1;-1;1;1;1;1;-2;2
"perceber";-1;-1;1;1;-1;-1;2;1;1;1;-1
"consequentemente";-1;-1;1;-1;1;1;-1;-1;1;-2;1
"constantemente";-1;-1;1;-1;-1;-1;-1;-1;-1;3;-1
"divulgar";-1;-1;1;5;1;-1;1;2;-1;-2;-1
"nível";-1;-1;-1;1;-1;-2;1;-1;-1;-1;1
"descritivo";-1;-1;-1;-1;2;-1;-1;-1;1;1;-1
"bibliografia";-1;-1;1;-1;1;-1;-1;3;1;1;-1
"profissional";-1;-1;-1;-1;-1;-1;1;-1;1;-1;1
"google";-1;-1;1;-1;-1;-1;-1;-1;2;1;1
"consciente";-1;-1;1;-1;-1;-1;1;-1;-1;3;-1
"divulgação";-1;-1;-1;3;-1;1;1;2;2;-3;-1
"resposta";-1;-1;-1;1;-1;-1;-1;1;-1;-1;2
"emergência";-1;-1;-1;1;2;-1;-1;-1;-1;1;-1
"aproximar";-1;-1;-1;1;1;1;-1;-1;-1;-1;1
"diálogo";-1;-1;-1;3;1;1;-1;1;1;1;-1
"aprendizado";-1;-1;-1;1;-1;-1;-1;-2;1;2;1
"incorporar";-1;-1;-1;1;-1;1;-1;1;-1;-1;2
"currículo";-1;-1;-1;1;-1;-1;-1;-1;-1;-1;4
"ensinar";-1;-1;-1;1;-1;-1;-1;-1;1;3;-2
"escrever";-1;-1;-1;-1;-1;-1;-1;1;-1;6;-3
"domínio";-1;-1;-1;1;2;1;-1;1;1;-2;1
"descrever";-1;-1;-1;2;8;9;-1;-1;-1;-3;-1
"turma";-1;-1;-1;1;-1;-1;-1;1;-1;2;-1
"digitalizar";-1;-1;-1;1;1;-1;2;2;-1;-1;-1
"referência";-1;-1;-1;-1;-1;2;-2;1;1;1;-1
"conter";-1;-1;-1;1;9;-1;-1;-1;2;-1;-1
"auxílio";-1;-1;-1;1;-1;-1;-1;-1;-1;4;-1
"demanda";-1;-1;-1;1;-1;4;-1;1;-1;-1;1
"relevância";-1;-1;-1;1;-1;-1;1;-1;2;-2;2
"geográfico";-1;-1;-1;4;-1;-1;-1;-1;-1;1;1
"aliado";-1;-1;-1;1;-1;1;-1;-1;1;1;1
"regional";-1;-1;-1;4;-1;-1;2;-1;-1;1;-1
"adaptação";-1;-1;-1;1;-1;-1;-1;-1;-2;2;2
"edm";-1;-1;-1;22;14;-1;-1;-1;-1;-3;-1
"terra";-1;-1;-1;2;4;1;-1;1;2;-4;-1
"mina";-1;-1;-1;3;1;1;1;1;-1;-2;-1
"negro";-1;-1;-1;1;-1;-1;-1;-1;-1;3;-1
"bahia";-1;-1;-1;1;1;1;-1;-1;1;-1;-1
"conflito";-1;-1;-1;4;-1;-1;-1;-1;2;-1;1
"conceituação";-1;-1;-1;4;-1;-1;-1;-1;-1;2;-1
"norte";-1;-1;-1;3;-1;1;-1;3;-1;-1;1
"central";-1;-1;-1;1;-1;-1;-1;-1;-1;1;2
"definir";-1;-1;-1;1;1;-1;-1;-1;-1;-1;1
"implicar";-1;-1;-1;3;1;1;2;-1;-1;-1;-1
"integrar";-1;-1;-1;4;-1;-1;2;1;-1;-6;6
"contra";-1;-1;-1;1;-1;-1;-1;1;3;-1;-1
"próximo";-1;-1;-1;1;-1;-1;1;2;1;-1;-1
"classificação";-1;-1;-1;1;-1;-1;8;1;-1;-1;-1
"associar";-1;-1;-1;4;-1;1;1;1;-1;-1;1
"aplicar";-1;-1;-1;1;-1;-1;1;-1;-1;1;1
"inovador";-1;-1;-1;1;-1;-2;-2;-1;-1;-1;8
"único";-1;-1;-1;1;-1;1;1;-1;-1;-2;5
"basear";-1;-1;-1;1;-1;3;1;-1;2;-3;1
"narrativo";-1;-1;-1;3;-1;-1;1;1;2;-1;-1
"qualidade";-1;-1;-1;1;-1;-1;-1;-1;1;-1;2
"ver";-1;-1;-1;1;1;-1;1;1;1;-1;-1
"regular";-1;-1;-1;2;-1;-1;-1;1;-1;4;-2
"org";-1;-1;-1;4;-1;1;2;-1;-1;-1;1
"avanço";-1;-1;-1;1;-1;-2;1;-1;1;1;1
"ambiental";-1;-1;-1;2;-1;1;11;-2;1;-5;2
"norteador";-1;-1;-1;1;-1;-1;-1;-1;-1;1;1
"animal";-1;-1;-1;9;-1;-1;-1;-1;-1;-2;8
"função";-1;-1;-1;1;1;1;-1;4;-2;-1;1
"alternativa";-1;-1;-1;1;-1;-1;-1;-1;-1;4;-2
"concepção";-1;-1;-1;5;1;2;-1;1;-1;-1;-1
"privado";-1;-1;-1;3;-1;1;1;1;2;-1;-1
"menor";-1;-1;-1;1;-1;1;-1;1;-1;-1;2
"apreender";-1;-1;-1;1;-1;-1;-1;-1;-1;6;-2
"pesquisar";-1;-1;-1;1;1;-1;-1;-1;1;1;-1
"ator";-1;-1;-1;2;3;1;-1;1;-1;-1;-2
"reflexivo";-1;-1;-1;1;-1;1;-1;-1;-1;2;-1
"espírito";-1;-1;-1;4;1;-1;1;1;1;-1;-1
"futuro";-1;-1;-1;-1;-1;-1;1;-1;-1;2;1
"geração";-1;-1;-1;1;3;1;2;-1;-1;-2;2
"tendência";-1;-1;-1;3;2;-1;-1;-1;-1;-1;2
"curso";-1;-1;-1;1;1;-1;3;-1;1;-1;-1
"descrição";-1;-1;-1;1;2;4;-1;-1;-1;-1;-1
"amostra";-1;-1;-1;1;-1;2;2;1;1;-2;1
"participar";-1;-1;-1;3;-1;-1;-1;1;3;-1;-1
"adequado";-1;-1;-1;1;10;-1;-1;-1;1;-2;1
"crescente";-1;-1;-1;1;2;1;-1;-1;1;-3;5
"baixo";-1;-1;-1;1;-1;-1;-1;-1;-1;-1;7
"qualitativo";-1;-1;-2;-1;1;-3;-1;-1;1;5;-1
"portal";-1;-1;-1;3;1;1;-1;4;1;-2;-1
"capes";-1;-1;-1;3;-1;-1;-1;1;1;1;-1
"total";-1;-1;-1;1;-1;11;-1;1;-1;-1;-1
"legislação";-1;-1;-1;1;1;-1;-1;-1;4;-1;1
"guerra";-1;-1;-1;1;-1;-1;-1;-1;1;1;1
"antes";-1;-1;-1;1;-1;-1;1;-1;1;2;-1
"anteriormente";-1;-1;-1;1;-1;-1;-1;-1;-1;4;-1
"sertão";-1;-1;-1;7;-1;2;1;1;-1;-2;-1
"continuidade";-1;-1;-1;1;-1;-1;1;1;1;-1;1
"negativo";-1;-1;-1;1;-1;-1;-2;-2;-2;10;-2
"positivo";-1;-1;-1;1;-1;-1;-1;-1;-1;6;-1
"agente";-1;-1;-1;-1;1;-2;1;-1;-1;3;-2
"cognitivo";-1;-1;-1;3;1;1;-1;-1;4;-2;-1
"panorama";-1;-1;-1;1;1;-1;3;1;1;-2;-1
"remoto";-1;-1;-2;-1;-2;-3;-2;-1;-1;13;-1
"fundamentar";-1;-1;-1;1;-1;-1;-1;-1;1;2;-1
"sofrer";-1;-1;-1;3;-1;1;1;2;1;-1;-1
"rocha";-1;-1;-1;1;-1;-1;1;-1;-1;5;-2
"destacar";-1;-1;-2;1;-1;-1;-1;-1;-2;1;10
"filme";-1;-1;-1;4;-1;-1;2;1;-1;1;-1
"continuar";-1;-1;-1;1;-1;-1;-1;-1;-1;1;1
"chamar";-1;-1;-1;4;-1;1;1;-1;-1;1;-1
"xxi";-1;-1;-1;1;-1;-1;1;-1;-1;1;2
"souza";-1;-1;-1;1;-1;-1;1;-1;-1;5;-2
"estruturado";-1;-1;-1;1;5;1;-1;-1;1;-3;1
"olhar";-1;-1;-1;1;1;-1;-1;-1;1;1;-1
"particular";-1;-1;-1;1;2;-1;1;1;-1;-1;-1
"diário";-1;-1;-1;1;-1;1;2;-1;-1;1;-2
"intenção";-1;-1;-1;2;-1;-1;2;-1;-1;1;-1
"empregar";-1;-1;-1;1;-1;-1;1;-1;-1;-1;3
"referido";-1;-1;-1;1;-1;-1;5;2;-1;-1;-1
"africano";-1;-1;-1;1;-1;-1;1;-1;-1;2;-1
"conseguir";-1;-1;-1;1;-1;-1;-1;1;-1;2;-1
"europeu";-1;-1;-1;1;4;-1;-1;-1;1;1;-1
"machado";-1;-1;-1;1;-1;-1;-1;-1;-1;3;-1
"motivação";-1;-1;-1;1;-1;-1;-1;-1;1;-1;2
"caber";-1;-1;-1;1;-1;-1;-1;-1;-1;3;-2
"psicologia";-1;-1;-1;1;-1;-1;-1;-1;1;1;-1
"empírico";-1;-1;-1;3;7;-1;1;-1;-1;-1;1
"avançado";-1;-1;-1;1;-1;-1;-1;2;1;-1;-1
"dispositivo";-1;-1;-1;2;-1;2;-1;1;1;-1;1
"capitalismo";-1;-1;-1;1;-1;-1;-1;1;-1;-1;4
"consumo";-1;-1;-1;2;-1;-1;2;-1;1;-1;1
"desafiar";-1;-1;-1;1;-1;-1;-1;-1;-1;4;-1
"capacidade";-1;-1;-1;1;-1;-1;-1;-1;2;-2;5
"motivar";-1;-1;-1;1;-1;1;-1;-1;-1;3;-2
"controlar";-1;-1;-1;1;-1;1;-1;1;1;-1;1
"consumidor";-1;-1;-1;1;-1;-1;11;-1;1;-1;-1
"filósofo";-1;-1;-1;3;1;-1;-1;-1;4;-2;-1
"nascimento";-1;-1;-1;1;-1;-1;-1;-1;-2;7;-1
"lógico";-1;-1;-1;1;-1;-1;-1;1;-1;2;-1
"razão";-1;-1;-1;1;1;1;1;1;-1;-2;1
"proveniente";-1;-1;-1;1;2;1;2;-1;-1;-1;-1
"imigrante";-1;-1;-1;1;-1;-1;-1;-1;-2;8;-2
"narrativa";-1;-1;-1;1;2;-1;1;1;-2;-1;2
"integração";-1;-1;-1;-1;-1;-2;-1;-1;-2;-2;22
"sujeitar";-1;-1;-1;1;3;-1;-1;1;1;-1;-1
"realização";-1;-1;-1;-1;1;-1;-1;1;1;2;-2
"adolescente";-1;-1;-1;1;1;1;-1;-1;-2;-1;5
"conduta";-1;-1;-1;1;26;1;1;-1;-1;-3;-1
"informática";-1;-1;-1;1;1;-1;2;-1;1;-2;1
"capacitação";-1;-1;-1;1;-1;-1;-1;-1;-1;1;2
"alcance";-1;-1;-1;1;-1;1;-1;-1;1;-1;2
"historiador";-1;-1;-1;3;-1;4;3;-1;-1;-1;-1
"claro";-1;-1;-1;1;-1;1;-1;-1;-1;1;1
"embasar";-1;-1;-1;1;1;-1;1;-1;-1;1;-1
"doutorado";-1;-1;-1;1;1;1;2;-1;1;-1;1
"foco";-1;-1;-1;-1;-1;1;1;3;-1;-1;1
"matéria";-1;-1;-1;1;-1;-1;-1;1;-1;2;-1
"tarefa";-1;-1;-1;1;-1;1;1;-1;-2;2;-1
"completo";-1;-1;-1;1;-1;1;2;-1;-1;1;1
"apontado";-1;-1;-1;1;-1;1;1;-1;-1;2;-1
"costa";-1;-1;-1;1;-1;-1;1;-1;-1;2;1
"responsabilidade";-1;-1;-1;1;3;2;-1;-1;-1;1;-1
"operação";-1;-1;-1;-1;1;1;-1;-1;-1;1;-1
"gerenciamento";-1;-1;-1;-1;1;4;1;1;-1;-1;-1
"fotográfico";-1;-1;-1;-1;27;1;1;-1;-1;-3;-1
"realidade";-1;-1;-1;-1;1;1;2;-1;1;1;-1
"retratar";-1;-1;-1;-1;1;1;-1;3;-1;1;-1
"fruto";-1;-1;-1;-1;5;1;1;-1;-1;1;-1
"devidamente";-1;-1;-1;-1;1;1;-1;-1;-1;1;1
"intuito";-1;-1;-1;-1;2;1;2;-1;-1;-1;-1
"esperar";-1;-1;-1;-1;1;-1;-1;-1;1;1;1
"eficaz";-1;-1;-1;-1;1;-2;-2;-2;-2;-1;12
"eficiente";-1;-1;-1;-1;1;-1;-1;-1;-1;3;-1
"documental";-1;-1;-1;-1;-1;2;1;-1;1;1;-2
"2011";-1;-1;-1;-1;1;-1;-1;2;1;-2;2
"escala";-1;-1;-1;-1;7;1;1;-1;-1;-2;1
"individual";-1;-1;-1;-1;3;1;-1;-1;-1;1;1
"emergir";-1;-1;-1;-1;2;-1;-1;-1;-1;1;1
"cidadania";-1;-1;-1;-1;38;1;-1;1;-1;-3;-2
"série";-1;-1;-1;-1;3;1;-1;-1;-1;2;-2
"ordenamento";-1;-1;-1;-1;9;1;-1;-1;-1;-1;-1
"indexar";-1;-1;-1;-1;5;1;-1;7;-1;-3;-1
"quantitativo";-1;-1;-1;-1;1;1;-1;-1;-1;1;1
"recuperar";-1;-1;-1;-1;2;2;1;1;-1;-2;-1
"software";-1;-1;-1;-1;-1;1;1;1;1;-1;1
"revisar";-1;-1;-1;-1;1;1;-1;1;-1;-1;1
"aplicativo";-1;-1;-1;-1;-1;-2;-1;-1;1;4;-1
"somente";-1;-1;-1;-1;2;-1;-1;-1;-1;2;-1
"2018";-1;-1;-1;-1;1;1;3;1;-1;-1;1
"2023";-1;-1;-1;-1;1;-1;-1;-1;-1;-1;8
"vivenciar";-1;-1;-1;-1;1;1;-1;1;-1;3;-2
"aprimoramento";-1;-1;-1;-1;1;-1;1;-1;1;1;1
"tdics";-1;-1;-1;-1;-1;-1;-2;-2;-1;10;-2
"alfabetização";-1;-1;-1;-1;-1;-1;2;1;5;-2;-1
"letramento";-1;-1;-1;-1;3;1;-1;4;1;-1;-1
"sul";-1;-1;-1;-1;1;13;-1;-1;-1;-1;-1
"américa";-1;-1;-1;-1;4;1;1;-1;-1;-2;1
"orientar";-1;-1;-1;-1;1;2;1;-1;1;-1;1
"diferenciado";-1;-1;-1;-1;1;-1;-1;1;-1;3;-1
"fenômeno";-1;-1;-1;-1;2;5;1;5;-2;-2;-1
"imprescindível";-1;-1;-1;-1;1;-1;1;-1;1;2;-1
"trabalhador";-1;-1;-1;-1;1;-1;-1;-1;3;-1;-1
"4";-1;-1;-1;-1;1;1;1;1;-1;-2;1
"5";-1;-1;-1;-1;1;1;-1;1;1;-2;1
"sociabilidade";-1;-1;-1;-1;3;1;1;-1;-1;1;-1
"jovem";-1;-1;-1;-1;3;-2;-1;-2;-1;6;-1
"rural";-1;-1;-1;-1;4;-1;-1;1;1;-2;1
"proporcionar";-1;-1;-1;-1;1;-1;-1;-1;-1;1;1
"reconhecer";-1;-1;-1;-1;5;-1;-1;1;-1;-1;1
"população";-1;-1;-1;-1;1;-1;4;-1;1;-1;1
"cuidado";-1;-1;-1;-1;-1;-1;2;-1;1;-3;6
"fornecer";-1;-1;-1;-1;1;-2;1;-2;-1;1;2
"fortalecer";-1;-1;-1;-1;3;-1;-1;1;-1;-1;2
"resumo";-1;-1;-1;-1;1;23;1;2;1;-7;-2
"didático";-1;-1;-1;-1;1;1;-1;-1;-1;1;1
"implementar";-1;-1;-1;-1;1;-1;-1;-1;-1;1;2
"ci";-1;-1;-1;-1;5;1;-1;-1;6;-3;-1
"face";-1;-1;-1;-1;1;3;-1;1;-1;-1;-1
"voltado";-1;-1;-1;-1;1;-1;-1;1;-1;2;-1
"transdisciplinar";-1;-1;-1;-1;1;3;1;1;-1;-1;-1
"baseado";-1;-1;-1;-1;1;-1;1;-1;-1;-1;4
"epistemologia";-1;-1;-1;-1;4;12;-1;-1;-1;-1;-2
"re";-1;-1;-1;-1;2;1;1;-1;9;-2;-1
"compensar";-1;-1;-1;-1;1;-1;1;-1;-1;2;-1
"competência";-1;-1;-1;-1;1;1;1;-1;3;-5;3
"online";-1;-1;-1;-1;-1;-1;2;-1;1;-2;5
"atuar";-1;-1;-1;-1;-1;1;1;1;-1;1;-1
"design";-1;-1;-1;-1;3;-1;1;-1;-1;-4;10
"armazenamento";-1;-1;-1;-1;1;13;-1;-1;1;-1;-1
"curadoria";-1;-1;-1;-1;9;1;-1;-1;3;-2;-1
"participativo";-1;-1;-1;-1;3;-1;-1;5;2;-3;1
"dissertação";-1;-1;-1;-1;1;-1;1;1;-1;-1;1
"sites";-1;-1;-1;-1;1;1;1;-1;-1;-1;1
"down";-1;-1;-1;-1;-1;-1;-1;-1;-2;11;-2
"atualização";-1;-1;-1;-1;1;2;1;-1;-1;-1;1
"classe";-1;-1;-1;-1;2;1;1;1;1;-2;1
"seguida";-1;-1;-1;-1;1;1;1;-1;-1;1;-1
"adotar";-1;-1;-1;-1;-1;-1;-1;1;-1;-1;8
"técnica";-1;-1;-1;-1;-1;3;1;-1;2;-2;1
"propriedade";-1;-1;-1;-1;1;1;-1;-1;-1;1;2
"propiciar";-1;-1;-1;-1;4;-1;-1;-1;2;-1;-1
"volume";-1;-1;-1;-1;1;7;12;-1;-1;-3;-2
"existência";-1;-1;-1;-1;1;1;1;-1;1;1;-1
"padrão";-1;-1;-1;-1;3;2;1;-1;3;-2;-1
"tanger";-1;-1;-1;-1;2;4;-1;-1;1;-1;-1
"melhoria";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2
"desempenho";-1;-1;-1;-1;-1;8;-1;1;1;-3;1
"questionamento";-1;-1;-1;-1;1;-1;-1;-1;-1;3;-1
"só";-1;-1;-1;-1;1;-1;-1;-1;-1;1;1
"experimentar";-1;-1;-1;-1;1;-1;1;-1;1;1;-1
"dedutivo";-1;-1;-1;-1;1;1;-1;-1;-1;1;1
"visual";-1;-1;-1;-1;1;2;1;2;-1;-2;1
"graça";-1;-1;-1;-1;1;-1;-1;-1;-1;3;-1
"gráfico";-1;-1;-1;-1;1;-1;1;-1;7;-3;2
"percepção";-1;-1;-1;-1;1;-1;-1;1;-1;-1;3
"departamento";-1;-1;-1;-1;2;-1;1;-1;3;-1;-1
"2001";-1;-1;-1;-1;-1;1;-1;-1;-1;5;-1
"notícia";-1;-1;-1;-1;3;-1;2;7;1;-3;-1
"fake_news";-1;-1;-1;-1;3;2;-1;2;1;-2;1
"site";-1;-1;-1;-1;1;1;3;1;-1;-1;-1
"referir";-1;-1;-1;-1;2;1;2;-1;1;-3;2
"inclusão";-1;-1;-1;-1;-1;-3;-2;-1;-1;3;2
"santana";-1;-1;-1;-1;1;-1;-1;-1;-1;2;-1
"coleta";-1;-1;-1;-1;-1;1;1;-1;-1;1;1
"beneficiar";-1;-1;-1;-1;3;1;1;-1;2;-1;-1
"criança";-1;-1;-1;-1;-1;-1;-2;-1;-1;4;1
"vário";-1;-1;-1;-1;-1;1;1;-1;1;-1;1
"cooperação";-1;-1;-1;-1;1;-1;1;-1;1;-3;7
